project_id,institution_name,institution_type,project_domain,team_size,avg_team_experience,innovation_score,funding_amount_usd,mentorship_support,incubation_support,market_readiness_level,competition_awards,business_model_score,technology_maturity,year,success_label
P0258,Institution_2,Technical,AgriTech,7,2.91,0.99,29629.14,0,0,4,2,0.28,3,2020,0
P0259,Institution_35,Private,FinTech,5,3.57,0.44,3379.77,0,1,3,1,0.21,5,2022,0
P0260,Institution_16,Non-technical,HealthTech,6,1.52,0.39,30582.61,0,1,1,1,0.24,4,2020,0
P0261,Institution_36,Technical,GreenTech,4,0.79,0.34,40220.13,0,1,2,0,0.35,4,2020,0
P0262,Institution_33,Non-technical,GreenTech,7,1.54,0.91,29664.6,1,0,3,0,0.57,1,2022,1
P0263,Institution_4,Technical,EdTech,4,2.85,0.51,49854.07,0,1,3,2,0.22,5,2019,1
P0264,Institution_33,Technical,EdTech,5,1.65,0.3,23337.46,0,0,3,1,0.32,5,2023,0
P0265,Institution_14,Technical,GreenTech,4,1.47,0.46,37692.55,0,0,2,0,0.83,3,2023,0
P0266,Institution_21,Technical,HealthTech,7,1.15,0.54,33693.45,0,1,3,1,0.81,5,2019,1
P0267,Institution_20,Non-technical,AgriTech,7,2.24,0.99,49580.15,0,1,1,2,0.83,1,2020,1
P0268,Institution_8,Technical,AgriTech,2,1.47,0.67,35947.73,0,1,4,1,0.94,3,2023,1
P0269,Institution_7,Technical,HealthTech,5,3.06,0.44,9037.51,0,0,2,4,0.3,2,2019,0
P0270,Institution_3,Private,AgriTech,2,0.77,0.53,47820.37,0,0,3,1,0.33,3,2019,0
P0271,Institution_17,Public,FinTech,5,2.82,0.53,33721.08,1,1,5,3,0.47,2,2023,1
P0272,Institution_33,Public,GreenTech,4,1.33,0.31,3907.57,1,0,4,3,0.93,3,2022,0
P0273,Institution_12,Private,GreenTech,7,2.21,0.39,33220.85,0,1,2,2,0.82,4,2021,0
P0274,Institution_22,Private,HealthTech,2,1.5,0.79,44272.85,1,1,5,2,0.46,2,2022,1
P0275,Institution_22,Non-technical,AgriTech,4,3.03,0.38,29275.05,1,1,5,2,0.27,1,2020,0
P0276,Institution_30,Non-technical,EdTech,7,3.81,0.46,18346.96,1,1,3,4,0.69,2,2022,0
P0277,Institution_38,Non-technical,EdTech,5,3.71,0.55,41224.57,1,1,2,4,0.41,2,2021,1
P0278,Institution_38,Private,AgriTech,7,2.54,0.83,39343.09,1,1,3,1,0.62,3,2021,1
P0279,Institution_8,Private,EdTech,4,2.12,0.71,27664.93,1,0,1,0,0.95,4,2019,1
P0280,Institution_27,Technical,HealthTech,2,3.36,0.78,8563.73,0,0,5,3,0.66,3,2020,0
P0281,Institution_27,Non-technical,HealthTech,2,2.89,0.7,13298.34,0,1,1,3,0.94,3,2019,0
P0282,Institution_34,Non-technical,AgriTech,7,1.14,0.78,37185.71,1,1,3,3,0.51,4,2022,1
P0283,Institution_21,Non-technical,EdTech,4,3.37,0.3,40498.03,0,0,4,1,0.71,3,2022,0
P0284,Institution_30,Public,HealthTech,3,2.0,0.95,14684.0,1,0,5,1,0.92,4,2023,1
P0285,Institution_33,Technical,HealthTech,5,1.16,0.38,19031.27,0,1,4,2,0.67,1,2019,0
P0286,Institution_28,Non-technical,FinTech,5,1.49,0.58,4803.96,0,1,2,0,0.69,4,2019,0
P0287,Institution_33,Non-technical,FinTech,4,1.44,0.84,35959.64,0,0,5,2,0.77,5,2019,1
P0288,Institution_5,Non-technical,HealthTech,3,2.32,0.6,1175.3,1,1,1,1,0.91,4,2019,0
P0289,Institution_19,Public,AgriTech,2,1.32,0.96,3280.53,0,0,4,4,0.27,4,2021,0
P0290,Institution_4,Public,GreenTech,6,0.93,0.63,1212.86,0,1,2,2,0.47,5,2023,0
P0291,Institution_35,Private,GreenTech,6,0.93,0.91,32620.66,1,0,5,1,0.52,4,2020,1
P0292,Institution_17,Technical,HealthTech,4,2.54,0.87,21451.97,1,1,2,1,0.93,2,2020,1
P0293,Institution_28,Private,HealthTech,3,3.07,0.99,15579.79,0,1,1,4,0.96,3,2020,1
P0294,Institution_30,Technical,HealthTech,3,1.63,0.95,45722.35,1,1,5,4,0.3,3,2021,1
P0295,Institution_29,Public,AgriTech,5,0.62,0.93,10447.34,0,0,2,4,0.3,1,2023,0
P0296,Institution_6,Non-technical,FinTech,2,0.95,0.81,20079.03,0,1,3,0,0.95,1,2023,1
P0297,Institution_35,Private,HealthTech,7,3.7,0.56,47075.28,1,0,5,1,0.44,5,2021,1
P0298,Institution_37,Non-technical,HealthTech,3,2.23,0.37,21928.22,1,0,5,4,0.39,2,2019,0
P0299,Institution_24,Private,EdTech,7,2.09,0.78,28179.99,0,0,5,0,0.23,1,2022,0
P0300,Institution_29,Public,AgriTech,6,0.63,0.99,4936.51,1,0,5,3,0.42,3,2019,0
P0301,Institution_31,Public,HealthTech,7,3.05,0.81,39718.15,0,1,3,3,0.75,1,2020,1
P0302,Institution_35,Public,EdTech,2,2.35,0.95,21715.18,1,1,1,3,0.54,1,2019,1
P0303,Institution_33,Private,GreenTech,2,1.21,0.86,40225.24,1,1,3,1,0.61,4,2021,1
P0304,Institution_21,Technical,HealthTech,7,0.89,0.41,13436.08,1,0,3,0,0.93,1,2020,0
P0305,Institution_32,Private,HealthTech,4,1.84,0.47,21701.46,1,1,2,0,0.29,5,2022,0
P0306,Institution_23,Technical,EdTech,3,3.43,0.54,39540.9,1,0,4,3,0.26,3,2020,0
P0307,Institution_33,Private,AgriTech,4,3.53,0.42,48720.01,0,0,4,2,0.88,5,2019,1
P0308,Institution_3,Private,HealthTech,7,2.61,0.71,3921.65,0,0,2,3,0.82,5,2023,0
P0309,Institution_18,Public,GreenTech,3,3.05,0.98,40810.35,0,1,3,1,0.41,2,2023,1
P0310,Institution_25,Non-technical,HealthTech,5,0.9,0.83,15733.76,1,0,2,3,0.46,4,2023,0
P0311,Institution_31,Non-technical,GreenTech,4,2.56,0.6,27986.42,0,1,5,3,0.45,5,2020,1
P0312,Institution_3,Technical,FinTech,4,2.83,0.3,15214.52,0,1,2,0,0.72,2,2023,0
P0313,Institution_40,Non-technical,FinTech,7,1.2,0.52,31058.83,1,1,2,3,0.25,3,2021,0
P0314,Institution_24,Private,GreenTech,6,3.58,0.67,18336.34,1,0,5,4,0.59,3,2022,0
P0315,Institution_32,Private,AgriTech,7,1.18,0.53,17347.13,1,1,4,4,0.31,2,2023,0
P0316,Institution_22,Public,HealthTech,4,1.6,0.38,2858.98,0,0,5,2,0.86,5,2021,0
P0317,Institution_23,Public,HealthTech,3,2.67,0.61,8201.06,0,0,1,1,0.5,5,2021,0
P0318,Institution_2,Non-technical,FinTech,6,2.73,0.48,45936.83,1,0,2,1,0.62,4,2020,1
P0319,Institution_27,Technical,GreenTech,7,2.95,0.94,49915.59,0,0,2,0,0.22,4,2020,0
P0320,Institution_2,Non-technical,HealthTech,7,0.89,0.37,39245.51,0,1,4,1,0.25,3,2022,0
P0321,Institution_26,Non-technical,HealthTech,4,3.47,0.33,15053.82,1,1,3,2,0.74,4,2022,0
P0322,Institution_17,Non-technical,AgriTech,4,2.36,0.3,20719.81,0,1,5,4,0.81,2,2019,0
P0323,Institution_40,Non-technical,EdTech,5,2.15,0.53,37235.67,1,1,3,0,0.77,3,2022,1
P0324,Institution_33,Private,FinTech,7,3.93,0.76,48457.16,0,0,1,4,0.79,5,2020,1
P0325,Institution_9,Technical,FinTech,4,3.09,0.81,23318.09,1,0,5,2,0.28,3,2021,0
P0326,Institution_39,Private,EdTech,2,0.91,0.62,41646.6,0,0,1,0,0.75,1,2019,0
P0327,Institution_29,Technical,HealthTech,6,3.15,0.78,48778.38,0,0,1,3,0.35,3,2022,0
P0328,Institution_26,Public,AgriTech,2,0.83,0.55,43800.19,1,1,1,1,0.28,4,2021,1
P0329,Institution_35,Non-technical,AgriTech,6,0.6,0.77,12130.34,1,1,5,2,0.81,2,2020,1
P0330,Institution_25,Private,FinTech,7,1.91,0.33,1393.56,1,0,5,0,0.91,5,2023,0
P0331,Institution_24,Technical,AgriTech,5,3.98,0.57,25112.0,1,0,4,4,0.77,5,2019,1
P0332,Institution_13,Public,EdTech,4,1.11,0.85,27036.68,0,0,2,0,0.84,4,2021,0
P0333,Institution_7,Public,HealthTech,4,2.85,0.86,10861.27,1,0,3,3,0.99,4,2020,1
P0334,Institution_36,Non-technical,EdTech,4,1.11,0.8,14949.05,1,1,3,2,0.31,4,2020,1
P0335,Institution_20,Technical,GreenTech,7,3.04,0.44,38492.5,1,0,1,0,0.97,1,2019,0
P0336,Institution_1,Private,FinTech,6,2.27,0.47,24047.02,1,1,5,2,0.68,2,2019,1
P0337,Institution_8,Non-technical,AgriTech,4,2.88,1.0,16550.35,1,1,5,2,0.85,1,2022,1
P0338,Institution_16,Private,GreenTech,2,1.21,0.37,31508.68,0,0,1,4,0.72,4,2022,0
P0339,Institution_14,Public,AgriTech,4,3.11,0.43,32985.23,1,0,2,1,0.66,2,2019,0
P0340,Institution_12,Private,HealthTech,7,3.98,0.39,38700.39,1,1,3,3,0.76,4,2019,1
P0341,Institution_23,Private,HealthTech,5,2.83,0.53,8678.76,1,1,4,0,0.46,2,2021,0
P0342,Institution_15,Non-technical,HealthTech,2,2.23,0.45,37334.35,0,0,2,1,0.94,5,2022,0
P0343,Institution_28,Private,AgriTech,4,3.73,0.65,30371.99,0,1,5,4,0.29,1,2020,0
P0344,Institution_34,Non-technical,GreenTech,4,0.56,0.63,3821.02,0,0,1,1,0.45,4,2022,0
P0345,Institution_2,Public,HealthTech,3,3.05,0.93,39094.84,1,0,3,2,0.22,4,2022,1
P0346,Institution_32,Non-technical,GreenTech,6,3.61,0.32,19770.93,1,1,1,2,0.42,3,2019,0
P0347,Institution_23,Non-technical,AgriTech,2,0.72,0.52,17188.67,0,1,5,3,0.37,5,2019,0
P0348,Institution_22,Technical,GreenTech,3,2.08,0.72,22955.68,0,0,1,0,0.24,4,2022,0
P0349,Institution_25,Private,AgriTech,5,1.22,0.72,17962.58,1,0,3,0,0.59,1,2023,0
P0350,Institution_22,Public,AgriTech,6,2.48,0.64,17575.99,1,1,1,4,0.57,5,2023,1
P0351,Institution_22,Non-technical,FinTech,2,2.77,0.87,40595.81,1,1,3,3,0.26,4,2022,1
P0352,Institution_6,Public,AgriTech,4,1.56,0.34,7100.76,0,1,1,0,0.41,1,2023,0
P0353,Institution_15,Technical,AgriTech,2,2.11,0.87,48559.4,1,1,1,2,0.96,3,2022,1
P0354,Institution_37,Private,EdTech,4,1.48,0.65,28191.65,1,0,3,3,0.29,3,2019,0
P0355,Institution_33,Non-technical,HealthTech,6,1.79,0.39,9963.28,0,0,1,1,0.44,1,2019,0
P0356,Institution_8,Private,FinTech,4,1.06,0.92,7429.56,0,0,2,3,0.23,5,2019,0
P0357,Institution_5,Technical,FinTech,5,3.6,0.75,29983.97,0,1,4,3,0.32,1,2020,0
P0358,Institution_39,Technical,FinTech,7,0.54,0.41,32016.97,1,1,2,0,0.76,1,2019,1
P0359,Institution_4,Public,EdTech,4,3.59,0.32,3598.26,0,0,4,4,0.49,3,2019,0
P0360,Institution_6,Non-technical,AgriTech,5,2.5,0.4,12907.09,0,1,2,4,0.56,3,2022,0
P0361,Institution_32,Public,HealthTech,7,1.66,0.73,39977.63,1,1,4,0,0.33,3,2023,1
P0362,Institution_30,Technical,GreenTech,6,3.03,0.43,3431.61,1,1,1,0,0.75,4,2023,0
P0363,Institution_35,Private,AgriTech,6,2.28,0.46,42899.34,0,1,3,0,0.8,4,2019,1
P0364,Institution_40,Public,EdTech,2,2.25,0.32,33249.96,1,1,3,4,0.34,2,2019,0
P0365,Institution_16,Public,AgriTech,5,0.89,0.81,22286.74,0,1,5,0,0.24,4,2019,1
P0366,Institution_13,Private,AgriTech,5,1.86,0.87,17975.21,1,0,4,1,0.26,5,2022,1
P0367,Institution_30,Public,EdTech,3,1.34,0.86,1943.2,1,0,5,1,0.73,5,2022,1
P0368,Institution_19,Private,FinTech,3,0.55,0.39,41435.53,0,0,5,2,0.31,3,2022,0
P0369,Institution_17,Non-technical,FinTech,7,1.76,0.93,7993.37,0,0,4,1,0.6,1,2023,0
P0370,Institution_19,Private,HealthTech,7,0.81,0.77,16167.56,0,1,3,3,0.32,3,2020,0
P0371,Institution_28,Non-technical,HealthTech,3,1.4,0.93,28886.24,1,0,4,2,0.34,1,2023,0
P0372,Institution_26,Private,FinTech,7,0.82,0.61,13053.64,0,0,1,1,0.2,3,2022,0
P0373,Institution_37,Technical,GreenTech,4,0.85,0.61,25359.88,1,0,5,3,0.46,3,2021,0
P0374,Institution_26,Technical,AgriTech,3,1.2,0.85,40657.8,1,0,5,1,0.27,5,2020,1
P0375,Institution_23,Non-technical,GreenTech,5,4.0,0.37,24056.36,0,1,4,3,0.52,1,2019,0
P0376,Institution_9,Non-technical,AgriTech,4,0.51,0.66,47499.89,1,1,5,0,0.68,2,2023,1
P0377,Institution_12,Technical,FinTech,7,2.74,0.89,42527.53,1,0,3,3,0.49,2,2020,1
P0378,Institution_1,Non-technical,HealthTech,6,0.99,0.88,17318.92,0,0,5,0,0.76,3,2021,0
P0379,Institution_1,Private,HealthTech,2,3.72,0.97,20598.14,1,1,4,3,0.79,3,2020,1
P0380,Institution_34,Private,GreenTech,3,0.83,0.79,21743.01,1,1,3,3,0.76,5,2023,1
P0381,Institution_32,Technical,HealthTech,6,3.84,0.45,31682.79,0,0,3,1,0.95,1,2022,0
P0382,Institution_25,Public,FinTech,7,2.64,0.31,15052.99,0,1,5,3,0.39,3,2019,0
P0383,Institution_40,Private,GreenTech,5,0.5,0.64,48493.21,1,1,4,1,0.35,2,2022,1
P0384,Institution_1,Non-technical,AgriTech,2,3.63,0.66,30825.53,1,0,5,3,0.69,1,2022,1
P0385,Institution_16,Public,HealthTech,6,2.33,0.47,20570.68,1,1,1,4,0.68,3,2023,0
P0386,Institution_39,Public,EdTech,2,1.42,0.39,32605.48,1,0,1,2,0.61,1,2022,0
P0387,Institution_5,Private,HealthTech,3,3.19,0.71,20374.85,0,0,3,1,0.2,5,2022,0
P0388,Institution_22,Private,AgriTech,7,3.74,0.83,41071.99,1,1,5,1,0.64,2,2023,1
P0389,Institution_29,Public,GreenTech,5,2.19,1.0,28824.21,1,1,1,0,0.95,1,2023,1
P0390,Institution_3,Public,AgriTech,7,1.6,0.83,3056.55,1,1,2,4,0.47,2,2021,0
P0391,Institution_12,Technical,EdTech,2,3.26,0.86,9661.09,1,1,1,0,0.97,3,2022,1
P0392,Institution_26,Non-technical,FinTech,6,2.89,0.73,43384.7,0,1,5,4,0.49,4,2020,1
P0393,Institution_16,Technical,HealthTech,3,3.61,0.99,28582.09,1,1,5,4,0.31,1,2019,1
P0394,Institution_37,Private,GreenTech,3,2.92,0.75,47566.83,0,0,1,3,0.52,2,2019,0
P0395,Institution_22,Technical,FinTech,7,1.35,0.9,4548.69,0,1,5,0,0.6,1,2023,0
P0396,Institution_29,Technical,AgriTech,6,3.76,0.96,15467.77,0,0,5,2,0.7,3,2023,0
P0397,Institution_14,Technical,GreenTech,6,0.87,0.95,10483.63,0,1,2,4,0.6,3,2021,0
P0398,Institution_28,Technical,FinTech,2,1.44,0.57,28138.17,0,1,3,4,0.63,2,2022,0
P0399,Institution_5,Non-technical,GreenTech,7,2.32,0.36,19756.85,1,1,5,1,0.22,5,2023,1
P0400,Institution_30,Non-technical,EdTech,7,2.48,0.42,8706.4,0,1,4,3,0.4,1,2023,0
P0401,Institution_5,Public,EdTech,4,0.55,0.34,32494.84,0,1,3,2,0.45,1,2019,0
P0402,Institution_12,Private,HealthTech,7,3.23,0.37,27278.62,0,0,3,4,0.99,3,2022,0
P0403,Institution_16,Technical,HealthTech,3,1.77,0.43,14462.08,1,0,4,1,0.44,1,2021,0
P0404,Institution_26,Public,EdTech,2,1.92,0.54,24508.8,0,0,1,0,0.92,2,2023,0
P0405,Institution_26,Public,GreenTech,6,3.33,0.68,37541.18,1,1,2,4,0.44,4,2023,1
P0406,Institution_21,Public,EdTech,7,1.83,0.8,11058.31,0,1,5,1,0.28,3,2023,0
P0407,Institution_39,Non-technical,HealthTech,2,0.67,0.45,15352.38,0,1,1,0,0.4,4,2019,0
P0408,Institution_36,Technical,EdTech,7,1.12,0.77,17959.44,1,0,4,3,0.42,1,2023,0
P0409,Institution_33,Technical,EdTech,6,3.85,0.79,37589.6,1,0,2,0,0.98,5,2023,1
P0410,Institution_30,Private,GreenTech,5,0.75,0.69,42499.21,1,1,2,4,0.74,2,2019,1
P0411,Institution_37,Technical,FinTech,6,1.74,0.93,19443.04,0,0,2,2,0.95,1,2023,0
P0412,Institution_23,Technical,HealthTech,6,2.26,0.38,15534.42,1,1,4,0,0.87,2,2022,1
P0413,Institution_10,Public,GreenTech,6,2.23,0.42,44582.89,1,1,1,2,0.66,1,2022,1
P0414,Institution_5,Private,EdTech,7,0.51,0.6,49968.88,1,0,5,2,0.74,1,2019,1
P0415,Institution_36,Technical,EdTech,4,2.25,0.39,33847.33,1,0,2,0,0.7,1,2022,0
P0416,Institution_34,Non-technical,FinTech,6,1.84,0.7,49509.05,1,0,2,3,0.73,3,2021,1
P0417,Institution_31,Technical,HealthTech,3,3.9,0.58,33338.35,0,0,1,0,0.41,4,2023,0
P0418,Institution_10,Public,HealthTech,3,1.06,0.5,36939.55,1,1,2,1,0.53,5,2021,1
P0419,Institution_19,Non-technical,AgriTech,2,1.74,0.42,20044.14,0,1,2,2,0.67,4,2022,0
P0420,Institution_32,Public,HealthTech,4,1.97,0.53,22215.41,1,0,4,4,0.23,4,2019,0
P0421,Institution_1,Technical,FinTech,2,1.87,0.73,8062.65,1,0,3,2,0.59,2,2019,0
P0422,Institution_5,Non-technical,AgriTech,3,2.83,0.7,41314.75,0,0,1,4,0.89,3,2021,0
P0423,Institution_4,Private,AgriTech,3,1.25,0.41,46621.89,0,0,1,1,0.59,3,2022,0
P0424,Institution_16,Private,EdTech,5,1.27,0.39,31548.47,0,1,1,1,0.64,1,2023,0
P0425,Institution_24,Non-technical,EdTech,6,3.05,0.32,17838.72,0,1,4,1,0.36,4,2022,0
P0426,Institution_16,Non-technical,HealthTech,3,2.25,0.31,8546.8,1,1,4,0,0.84,5,2022,1
P0427,Institution_2,Public,AgriTech,7,1.95,0.92,13992.66,0,1,5,2,0.49,2,2019,0
P0428,Institution_28,Non-technical,EdTech,7,1.09,0.33,13515.11,1,1,4,4,0.97,3,2020,1
P0429,Institution_32,Public,FinTech,2,1.16,0.81,31062.87,1,1,1,1,0.99,1,2023,1
P0430,Institution_27,Technical,EdTech,2,0.54,0.91,47306.84,1,1,5,1,0.93,5,2023,1
P0431,Institution_20,Public,EdTech,6,0.82,0.37,3365.32,0,0,3,4,0.27,4,2019,0
P0432,Institution_24,Non-technical,AgriTech,6,2.45,0.61,1050.09,0,1,2,2,0.47,5,2022,0
P0433,Institution_12,Non-technical,AgriTech,5,3.62,0.97,30408.92,0,0,2,2,0.96,3,2019,1
P0434,Institution_35,Technical,GreenTech,4,1.51,0.88,14918.96,1,0,5,4,0.84,2,2022,1
P0435,Institution_33,Non-technical,FinTech,2,1.65,0.64,44146.87,0,0,3,3,0.93,4,2020,1
P0436,Institution_33,Non-technical,AgriTech,6,0.9,0.83,17035.27,0,1,2,2,0.66,2,2020,0
P0437,Institution_37,Private,HealthTech,2,1.86,0.88,15197.14,1,1,5,4,0.58,5,2021,1
P0438,Institution_12,Private,FinTech,6,0.63,0.54,14206.02,0,1,4,4,0.29,5,2022,0
P0439,Institution_3,Technical,FinTech,3,3.71,0.92,8097.79,1,1,1,1,0.87,1,2019,1
P0440,Institution_1,Public,AgriTech,2,2.86,0.63,29494.99,0,0,3,4,0.8,4,2019,0
P0441,Institution_33,Private,FinTech,3,3.97,0.67,9242.47,0,1,2,0,0.25,5,2019,0
P0442,Institution_40,Public,AgriTech,2,3.59,1.0,21806.93,0,0,1,1,0.37,3,2021,0
P0443,Institution_10,Non-technical,EdTech,4,2.16,0.89,23587.63,0,1,5,1,0.65,3,2023,1
P0444,Institution_29,Private,GreenTech,5,2.32,0.55,2004.11,0,1,2,2,0.75,2,2019,0
P0445,Institution_13,Technical,EdTech,7,1.17,0.31,1823.56,1,0,1,3,0.31,3,2020,0
P0446,Institution_12,Technical,AgriTech,7,2.12,0.74,26490.42,0,0,4,2,0.4,5,2019,0
P0447,Institution_31,Technical,AgriTech,7,3.66,0.79,35105.7,0,0,3,0,0.35,3,2019,0
P0448,Institution_2,Private,EdTech,3,0.68,0.76,47164.98,0,1,5,1,0.38,4,2019,1
P0449,Institution_35,Public,HealthTech,6,3.52,0.98,9776.84,0,1,2,1,0.94,2,2023,1
P0450,Institution_23,Non-technical,HealthTech,7,1.69,0.9,6059.68,0,0,4,4,0.77,4,2019,0
P0451,Institution_17,Public,HealthTech,4,3.65,0.61,3552.31,0,1,3,3,0.79,5,2023,0
P0452,Institution_26,Public,AgriTech,7,3.79,0.34,22366.04,0,0,3,3,0.84,5,2023,0
P0453,Institution_8,Non-technical,FinTech,2,2.85,0.63,31534.22,1,1,4,4,0.49,3,2021,1
P0454,Institution_29,Non-technical,AgriTech,3,2.83,0.78,42187.11,1,0,2,0,0.81,1,2020,1
P0455,Institution_26,Private,FinTech,2,2.08,0.73,34449.6,0,0,3,3,0.98,1,2019,0
P0456,Institution_10,Private,EdTech,2,3.42,0.68,11209.68,1,1,5,1,0.76,5,2019,1
P0457,Institution_26,Private,GreenTech,2,3.87,0.63,23626.75,0,0,1,0,0.53,5,2019,0
P0458,Institution_34,Private,FinTech,5,3.21,0.51,45606.97,1,1,5,2,0.77,2,2023,1
P0459,Institution_7,Private,HealthTech,5,2.68,0.49,17010.31,0,1,3,2,0.92,5,2022,0
P0460,Institution_4,Non-technical,AgriTech,6,2.62,0.65,25437.79,0,0,1,0,0.3,5,2020,0
P0461,Institution_11,Public,EdTech,3,3.47,0.41,47969.7,1,0,4,1,0.41,2,2019,0
P0462,Institution_29,Private,HealthTech,4,2.39,0.54,37000.69,0,1,1,2,0.94,4,2022,1
P0463,Institution_36,Private,EdTech,4,3.31,0.53,37639.28,1,1,1,1,0.96,4,2022,1
P0464,Institution_25,Public,GreenTech,4,2.28,0.71,13364.37,0,0,1,4,0.59,2,2022,0
P0465,Institution_21,Private,AgriTech,2,0.72,0.35,21320.21,0,0,3,3,0.5,2,2020,0
P0466,Institution_36,Public,AgriTech,5,1.84,0.88,5034.77,0,0,2,0,0.43,4,2022,0
P0467,Institution_10,Public,GreenTech,3,2.06,0.69,30719.77,0,1,3,3,0.6,4,2019,1
P0468,Institution_37,Non-technical,AgriTech,2,1.0,0.77,6082.78,1,1,2,4,0.95,4,2019,1
P0469,Institution_9,Technical,FinTech,5,0.86,0.79,41959.57,0,1,4,2,0.32,4,2021,1
P0470,Institution_24,Non-technical,EdTech,5,2.37,0.5,40913.14,1,0,4,1,0.54,3,2023,1
P0471,Institution_35,Technical,HealthTech,7,0.8,0.63,27146.65,1,0,4,1,0.93,2,2022,1
P0472,Institution_35,Technical,GreenTech,7,1.56,0.97,7917.14,0,1,4,4,0.48,1,2023,0
P0473,Institution_36,Technical,FinTech,3,3.11,0.84,2253.37,0,1,4,0,0.81,3,2023,0
P0474,Institution_18,Private,HealthTech,3,3.88,0.98,40038.72,1,0,5,3,0.51,1,2023,1
P0475,Institution_39,Non-technical,HealthTech,3,3.01,0.82,30406.88,1,1,3,2,0.84,1,2023,1
P0476,Institution_32,Technical,GreenTech,2,3.97,0.42,35835.55,0,0,2,0,0.98,5,2023,0
P0477,Institution_24,Public,FinTech,6,2.94,0.35,15886.55,1,0,4,4,0.51,2,2019,0
P0478,Institution_23,Private,HealthTech,3,1.53,0.7,25964.65,1,0,5,4,0.88,3,2020,1
P0479,Institution_32,Non-technical,HealthTech,7,2.85,0.55,37611.53,1,1,5,1,0.99,2,2022,1
P0480,Institution_37,Technical,FinTech,6,2.96,0.49,23665.6,0,1,5,2,0.99,4,2022,1
P0481,Institution_12,Public,AgriTech,2,1.8,0.87,30467.83,1,0,3,0,0.55,2,2019,1
P0482,Institution_13,Non-technical,HealthTech,6,0.56,0.56,39696.68,1,0,4,1,0.59,1,2019,0
P0483,Institution_23,Non-technical,EdTech,4,2.96,0.52,11545.81,1,1,5,2,0.44,4,2023,1
P0484,Institution_25,Private,FinTech,6,0.58,0.89,4230.52,1,0,5,3,0.45,2,2020,0
P0485,Institution_35,Non-technical,HealthTech,3,2.71,0.89,27059.35,0,1,4,3,0.59,2,2022,1
P0486,Institution_30,Private,GreenTech,2,1.07,0.55,4044.16,0,1,3,1,0.36,1,2021,0
P0487,Institution_17,Technical,EdTech,3,2.48,0.88,38561.31,1,1,5,0,0.77,4,2019,1
P0488,Institution_20,Private,HealthTech,7,2.26,0.9,36241.36,1,0,2,2,0.63,1,2021,1
P0489,Institution_25,Public,EdTech,4,0.55,0.6,44203.92,1,0,1,3,0.92,2,2022,1
P0490,Institution_22,Private,EdTech,7,1.77,0.35,32338.54,0,0,1,3,0.85,3,2019,0
P0491,Institution_13,Public,AgriTech,3,2.6,0.3,4292.68,0,0,1,0,0.46,3,2022,0
P0492,Institution_19,Private,EdTech,3,3.47,0.67,13404.45,1,1,3,1,0.6,5,2019,1
P0493,Institution_36,Non-technical,AgriTech,3,3.61,0.54,40588.66,1,0,5,4,0.8,3,2022,1
P0494,Institution_12,Technical,FinTech,5,2.19,1.0,9189.49,0,1,1,2,0.35,4,2021,0
P0495,Institution_19,Public,AgriTech,4,3.05,0.84,35225.54,1,0,1,3,0.23,5,2020,1
P0496,Institution_12,Private,GreenTech,3,1.61,0.83,39232.71,1,0,4,4,0.88,4,2019,1
P0497,Institution_9,Private,HealthTech,3,1.7,0.97,17175.48,0,0,5,0,0.31,3,2021,0
P0498,Institution_7,Private,FinTech,7,1.18,0.92,16792.58,0,0,5,1,0.91,3,2022,0
P0499,Institution_28,Non-technical,FinTech,7,2.47,0.52,28332.33,0,0,4,2,0.93,2,2021,0
P0500,Institution_14,Non-technical,GreenTech,3,1.6,0.42,43203.03,0,1,5,0,0.57,4,2019,1
P0501,Institution_31,Public,AgriTech,2,0.8,0.82,11971.4,0,0,2,1,0.85,1,2021,0
P0502,Institution_19,Public,HealthTech,5,2.9,0.56,47121.65,1,0,3,0,0.49,2,2022,1
P0503,Institution_16,Non-technical,AgriTech,7,2.98,0.63,30356.82,0,0,4,3,0.89,4,2023,0
P0504,Institution_5,Public,EdTech,2,1.76,0.74,49614.2,0,0,1,3,0.86,5,2020,1
P0505,Institution_35,Technical,AgriTech,5,0.77,0.94,5391.07,0,0,5,4,0.26,4,2020,0
P0506,Institution_12,Technical,FinTech,3,1.99,0.59,7201.54,0,1,2,0,0.67,5,2023,0
P0507,Institution_25,Non-technical,HealthTech,4,2.05,0.85,41505.45,0,0,2,3,0.71,5,2019,1
P0508,Institution_21,Public,AgriTech,6,2.84,0.49,43373.04,0,1,3,1,0.2,3,2021,0
P0509,Institution_36,Private,HealthTech,6,1.6,0.79,22827.48,1,0,2,4,0.98,1,2021,0
P0510,Institution_23,Technical,HealthTech,3,2.89,0.3,35989.49,0,1,5,2,0.53,4,2023,0
P0511,Institution_16,Non-technical,EdTech,7,3.55,0.91,43510.31,1,0,5,0,0.61,1,2023,1
P0512,Institution_39,Public,EdTech,2,1.33,0.32,3113.26,1,0,2,3,0.36,5,2022,0
P0513,Institution_39,Non-technical,FinTech,4,3.93,0.8,29123.57,0,1,5,1,0.69,3,2022,1
P0514,Institution_14,Private,GreenTech,5,1.85,0.33,42820.55,0,0,5,0,0.85,1,2020,0
P0515,Institution_31,Technical,HealthTech,3,1.44,0.49,20509.59,1,1,1,1,0.67,2,2019,0
